step,train_loss,val_loss,lr,temperature,grad_norm,sec_per_step
86,4.6938,5.1499,8.700e-05,0.0701,2.799,0.080
87,4.7555,5.1499,8.800e-05,0.0701,2.812,0.146
88,4.6689,5.1499,8.900e-05,0.0701,3.079,0.087
89,4.6735,5.1499,9.000e-05,0.0701,2.870,0.164
90,4.6946,5.1499,9.100e-05,0.0701,3.383,0.088
91,4.7690,5.1499,9.200e-05,0.0701,2.629,0.173
92,4.5864,5.1499,9.300e-05,0.0702,2.946,0.076
93,4.7081,5.1499,9.400e-05,0.0702,2.574,0.178
94,4.6863,5.1499,9.500e-05,0.0702,3.074,0.081
95,4.7271,5.1499,9.600e-05,0.0702,3.469,0.169
96,4.7275,5.1499,9.700e-05,0.0702,3.496,0.076
97,4.6611,5.1499,9.800e-05,0.0702,3.338,0.185
98,4.7865,5.1499,9.900e-05,0.0702,2.835,0.080
99,4.7238,5.1499,1.000e-04,0.0702,3.147,0.179
100,4.7430,5.1499,1.010e-04,0.0702,2.752,0.081
101,4.7282,5.1499,1.020e-04,0.0702,2.674,0.162
102,4.7240,5.1499,1.030e-04,0.0702,3.010,0.087
103,4.7346,5.1499,1.040e-04,0.0702,2.589,0.182
104,4.6389,5.1499,1.050e-04,0.0702,2.804,0.072
105,4.7540,5.1499,1.060e-04,0.0702,2.570,0.175
106,4.6023,5.1499,1.070e-04,0.0702,2.764,0.083
107,4.6677,5.1499,1.080e-04,0.0702,3.292,0.164
108,4.7212,5.1499,1.090e-04,0.0702,2.476,0.081
109,4.6297,5.1499,1.100e-04,0.0702,3.104,0.174
110,4.6633,5.1499,1.110e-04,0.0702,3.698,0.071
111,4.6742,5.1499,1.120e-04,0.0702,3.539,0.175
112,4.7991,5.1499,1.130e-04,0.0702,3.164,0.077
113,4.6871,5.1499,1.140e-04,0.0702,3.333,0.175
114,4.7711,5.1499,1.150e-04,0.0702,3.396,0.074
115,4.6656,5.1499,1.160e-04,0.0702,3.348,0.165
116,4.6538,5.1499,1.170e-04,0.0702,3.058,0.086
117,4.6935,5.1499,1.180e-04,0.0702,2.779,0.168
118,4.6882,5.1499,1.190e-04,0.0702,2.890,0.078
119,4.6462,5.1499,1.200e-04,0.0702,2.691,0.192
120,4.6238,5.1499,1.210e-04,0.0702,2.542,0.082
121,4.6515,5.1499,1.220e-04,0.0702,2.406,0.167
122,4.6853,5.1499,1.230e-04,0.0702,2.267,0.091
123,4.6983,5.1499,1.240e-04,0.0702,2.881,0.168
124,4.6738,5.1499,1.250e-04,0.0702,2.545,0.078
125,4.6103,5.1499,1.260e-04,0.0702,2.909,0.164
126,4.6880,5.1499,1.270e-04,0.0702,3.546,0.072
127,4.6227,5.1499,1.280e-04,0.0702,4.420,0.177
128,4.6136,5.1499,1.290e-04,0.0702,3.347,0.078
129,4.6225,5.1499,1.300e-04,0.0702,3.519,0.169
130,4.6242,5.1499,1.310e-04,0.0702,4.295,0.081
131,4.6729,5.1499,1.320e-04,0.0702,3.085,0.177
132,4.6513,5.1499,1.330e-04,0.0702,2.957,0.078
133,4.7294,5.1499,1.340e-04,0.0702,3.340,0.174
134,4.6477,5.1499,1.350e-04,0.0702,2.495,0.080
135,4.6845,5.1499,1.360e-04,0.0703,3.097,0.186
136,4.5536,5.1499,1.370e-04,0.0703,3.066,0.075
137,4.6436,5.1499,1.380e-04,0.0703,2.341,0.143
138,4.6438,5.1499,1.390e-04,0.0703,2.428,0.081
139,4.6415,5.1499,1.400e-04,0.0703,2.931,0.144
140,4.6835,5.1499,1.410e-04,0.0703,3.285,0.081
141,4.6524,5.1499,1.420e-04,0.0703,2.866,0.177
142,4.7030,5.1499,1.430e-04,0.0703,3.582,0.087
143,4.5256,5.1499,1.440e-04,0.0703,2.825,0.175
144,4.6678,5.1499,1.450e-04,0.0703,2.959,0.091
145,4.5986,5.1499,1.460e-04,0.0703,3.577,0.167
146,4.5444,5.1499,1.470e-04,0.0703,2.830,0.090
147,4.6848,5.1499,1.480e-04,0.0703,3.493,0.160
148,4.6075,5.1499,1.490e-04,0.0703,3.767,0.094
149,4.5738,5.1499,1.500e-04,0.0703,3.016,0.160
150,4.5586,5.1499,1.510e-04,0.0703,4.400,0.088
151,4.5918,5.1499,1.520e-04,0.0703,3.891,0.153
152,4.5041,5.1499,1.530e-04,0.0703,3.058,0.087
153,4.6827,5.1499,1.540e-04,0.0703,3.440,0.173
154,4.5097,5.1499,1.550e-04,0.0703,4.110,0.098
155,4.5664,5.1499,1.560e-04,0.0703,2.746,0.153
156,4.6199,5.1499,1.570e-04,0.0703,3.221,0.096
157,4.5873,5.1499,1.580e-04,0.0703,3.171,0.154
158,4.6377,5.1499,1.590e-04,0.0703,4.185,0.091
159,4.5259,5.1499,1.600e-04,0.0703,2.819,0.164
160,4.6863,5.1499,1.610e-04,0.0703,3.727,0.086
161,4.6635,5.1499,1.620e-04,0.0703,3.809,0.165
162,4.5294,5.1499,1.630e-04,0.0703,2.967,0.075
163,4.6150,5.1499,1.640e-04,0.0703,2.844,0.159
164,4.6028,5.1499,1.650e-04,0.0703,3.590,0.095
165,4.5132,5.1499,1.660e-04,0.0703,3.779,0.155
166,4.6777,5.1499,1.670e-04,0.0703,3.033,0.087
167,4.5974,5.1499,1.680e-04,0.0703,3.346,0.177
168,4.4806,5.1499,1.690e-04,0.0703,3.785,0.080
169,4.5722,5.1499,1.700e-04,0.0703,4.125,0.166
170,4.5316,5.1499,1.710e-04,0.0703,3.197,0.088
171,4.4955,5.1499,1.720e-04,0.0703,3.353,0.166
172,4.4569,5.1499,1.730e-04,0.0703,3.966,0.077
173,4.6649,5.1499,1.740e-04,0.0703,4.468,0.169
174,4.6575,5.1499,1.750e-04,0.0703,3.948,0.080
175,4.7734,5.1499,1.760e-04,0.0703,4.352,0.166
176,4.6592,5.1499,1.770e-04,0.0703,3.372,0.091
177,4.5988,5.1499,1.780e-04,0.0704,2.337,0.179
178,4.6072,5.1499,1.790e-04,0.0704,2.146,0.098
179,4.5784,5.1499,1.800e-04,0.0704,2.577,0.155
180,4.5412,5.1499,1.810e-04,0.0704,3.193,0.079
181,4.5579,5.1499,1.820e-04,0.0704,2.528,0.175
182,4.6140,5.1499,1.830e-04,0.0704,2.773,0.081
183,4.5965,5.1499,1.840e-04,0.0704,2.867,0.172
184,4.5181,5.1499,1.850e-04,0.0704,3.315,0.086
185,4.5491,5.1499,1.860e-04,0.0704,3.511,0.159
186,4.5949,5.1499,1.870e-04,0.0704,3.419,0.085
187,4.6099,5.1499,1.880e-04,0.0704,3.524,0.177
188,4.4921,5.1499,1.890e-04,0.0704,3.201,0.085
189,4.5507,5.1499,1.900e-04,0.0704,2.817,0.162
190,4.5181,5.1499,1.910e-04,0.0704,3.121,0.085
191,4.4388,5.1499,1.920e-04,0.0704,2.643,0.165
192,4.6903,5.1499,1.930e-04,0.0704,3.632,0.084
193,4.5325,5.1499,1.940e-04,0.0704,3.372,0.169
194,4.6239,5.1499,1.950e-04,0.0704,2.918,0.074
195,4.5114,5.1499,1.960e-04,0.0704,3.857,0.173
196,4.4352,5.1499,1.970e-04,0.0704,3.047,0.077
197,4.5379,5.1499,1.980e-04,0.0704,3.220,0.179
198,4.5347,5.1499,1.990e-04,0.0704,3.177,0.091
199,4.4666,5.1499,2.000e-04,0.0704,2.829,0.168
200,4.5523,4.4889,2.010e-04,0.0704,3.541,0.074
201,4.5010,4.4889,2.020e-04,0.0704,3.717,3.089
202,4.3810,4.4889,2.030e-04,0.0704,4.275,0.085
203,4.5885,4.4889,2.040e-04,0.0704,3.271,0.102
204,4.3539,4.4889,2.050e-04,0.0704,3.700,0.096
205,4.5541,4.4889,2.060e-04,0.0704,4.167,0.091
206,4.5605,4.4889,2.070e-04,0.0704,3.686,0.084
207,4.4758,4.4889,2.080e-04,0.0704,2.866,0.101
208,4.5332,4.4889,2.090e-04,0.0704,5.291,0.089
209,4.5696,4.4889,2.100e-04,0.0704,5.161,0.106
210,4.5915,4.4889,2.110e-04,0.0704,3.350,0.091
211,4.4797,4.4889,2.120e-04,0.0704,3.698,0.184
212,4.4971,4.4889,2.130e-04,0.0704,3.952,0.087
213,4.5677,4.4889,2.140e-04,0.0704,3.011,0.163
214,4.5410,4.4889,2.150e-04,0.0704,3.143,0.080
215,4.4766,4.4889,2.160e-04,0.0704,3.474,0.190
216,4.4808,4.4889,2.170e-04,0.0704,3.520,0.093
217,4.4246,4.4889,2.180e-04,0.0704,3.057,0.176
218,4.4047,4.4889,2.190e-04,0.0704,3.348,0.080
219,4.5216,4.4889,2.200e-04,0.0704,3.952,0.178
220,4.4257,4.4889,2.210e-04,0.0704,3.674,0.086
221,4.3973,4.4889,2.220e-04,0.0704,3.510,0.175
222,4.6183,4.4889,2.230e-04,0.0704,4.285,0.081
223,4.5306,4.4889,2.240e-04,0.0705,3.927,0.205
224,4.6540,4.4889,2.250e-04,0.0705,3.899,0.087
225,4.4547,4.4889,2.260e-04,0.0705,2.611,0.173
226,4.5202,4.4889,2.270e-04,0.0705,2.718,0.091
227,4.4337,4.4889,2.280e-04,0.0705,2.547,0.154
228,4.4102,4.4889,2.290e-04,0.0705,2.345,0.081
229,4.5282,4.4889,2.300e-04,0.0705,2.557,0.168
230,4.4782,4.4889,2.310e-04,0.0705,3.864,0.091
231,4.4124,4.4889,2.320e-04,0.0705,3.447,0.190
232,4.4730,4.4889,2.330e-04,0.0705,4.218,0.083
233,4.6291,4.4889,2.340e-04,0.0705,5.338,0.152
234,4.3974,4.4889,2.350e-04,0.0705,4.483,0.352
235,4.3483,4.4889,2.360e-04,0.0705,3.909,0.082
236,4.4786,4.4889,2.370e-04,0.0705,3.149,0.163
237,4.4151,4.4889,2.380e-04,0.0705,3.083,0.077
238,4.4750,4.4889,2.390e-04,0.0705,4.147,0.170
239,4.3866,4.4889,2.400e-04,0.0705,2.952,0.086
240,4.4257,4.4889,2.410e-04,0.0705,3.284,0.162
241,4.3361,4.4889,2.420e-04,0.0705,3.184,0.081
242,4.4809,4.4889,2.430e-04,0.0705,3.551,0.177
243,4.3740,4.4889,2.440e-04,0.0705,3.070,0.077
244,4.4206,4.4889,2.450e-04,0.0705,3.296,0.166
245,4.4404,4.4889,2.460e-04,0.0705,3.916,0.091
246,4.3002,4.4889,2.470e-04,0.0705,3.876,0.166
247,4.2613,4.4889,2.480e-04,0.0705,3.645,0.091
248,4.3975,4.4889,2.490e-04,0.0705,4.130,0.164
249,4.4118,4.4889,2.500e-04,0.0705,5.164,0.091
250,4.4026,4.4889,2.510e-04,0.0705,4.219,0.166
251,4.4734,4.4889,2.520e-04,0.0705,5.101,0.075
252,4.4624,4.4889,2.530e-04,0.0705,3.652,0.162
253,4.4334,4.4889,2.540e-04,0.0705,3.192,0.088
254,4.3208,4.4889,2.550e-04,0.0705,3.136,0.170
255,4.3619,4.4889,2.560e-04,0.0705,2.914,0.079
256,4.3917,4.4889,2.570e-04,0.0705,2.796,0.173
257,4.4653,4.4889,2.580e-04,0.0705,3.894,0.084
258,4.3736,4.4889,2.590e-04,0.0705,3.950,0.170
259,4.4848,4.4889,2.600e-04,0.0705,3.704,0.093
260,4.4307,4.4889,2.610e-04,0.0705,3.522,0.167
261,4.4410,4.4889,2.620e-04,0.0705,4.761,0.094
262,4.3947,4.4889,2.630e-04,0.0705,4.017,0.162
263,4.4838,4.4889,2.640e-04,0.0705,3.898,0.079
264,4.4837,4.4889,2.650e-04,0.0705,3.633,0.165
265,4.3286,4.4889,2.660e-04,0.0705,3.957,0.088
266,4.4073,4.4889,2.670e-04,0.0705,2.831,0.189
267,4.4149,4.4889,2.680e-04,0.0705,3.214,0.089
268,4.5066,4.4889,2.690e-04,0.0705,3.746,0.156
269,4.3465,4.4889,2.700e-04,0.0705,3.358,0.089
270,4.3218,4.4889,2.710e-04,0.0705,3.977,0.164
271,4.5788,4.4889,2.720e-04,0.0705,4.354,0.090
272,4.3272,4.4889,2.730e-04,0.0705,4.684,0.152
273,4.5198,4.4889,2.740e-04,0.0706,5.117,0.091
274,4.4977,4.4889,2.750e-04,0.0706,4.347,0.167
275,4.4930,4.4889,2.760e-04,0.0706,4.880,0.078
276,4.4111,4.4889,2.770e-04,0.0706,3.534,0.169
277,4.3797,4.4889,2.780e-04,0.0706,2.954,0.095
278,4.5140,4.4889,2.790e-04,0.0706,4.436,0.179
279,4.4178,4.4889,2.800e-04,0.0706,3.392,0.082
280,4.3955,4.4889,2.810e-04,0.0706,3.190,0.156
281,4.3772,4.4889,2.820e-04,0.0706,2.482,0.083
282,4.4564,4.4889,2.830e-04,0.0706,3.933,0.179
283,4.3993,4.4889,2.840e-04,0.0706,4.309,0.079
284,4.3914,4.4889,2.850e-04,0.0706,3.379,0.171
285,4.3420,4.4889,2.860e-04,0.0706,3.949,0.084
286,4.5583,4.4889,2.870e-04,0.0706,6.943,0.163
287,4.4640,4.4889,2.880e-04,0.0706,5.238,0.084
288,4.3156,4.4889,2.890e-04,0.0706,3.420,0.169
289,4.4627,4.4889,2.900e-04,0.0706,5.820,0.077
290,4.4432,4.4889,2.910e-04,0.0706,5.037,0.167
291,4.2419,4.4889,2.920e-04,0.0706,3.706,0.093
292,4.5244,4.4889,2.930e-04,0.0706,3.235,0.157
293,4.4160,4.4889,2.940e-04,0.0706,4.132,0.081
294,4.3901,4.4889,2.950e-04,0.0706,4.251,0.172
295,4.3737,4.4889,2.960e-04,0.0706,3.521,0.083
296,4.3659,4.4889,2.970e-04,0.0706,3.325,0.174
297,4.5027,4.4889,2.980e-04,0.0706,3.553,0.077
298,4.3073,4.4889,2.990e-04,0.0706,2.802,0.137
299,4.2954,4.4889,3.000e-04,0.0706,3.430,0.077
300,4.5033,4.4889,3.010e-04,0.0706,3.539,0.155
301,4.2822,4.4889,3.020e-04,0.0706,2.915,0.108
302,4.5359,4.4889,3.030e-04,0.0707,2.953,0.148
303,4.2560,4.4889,3.040e-04,0.0707,2.780,0.107
304,4.4187,4.4889,3.050e-04,0.0707,3.302,0.155
305,4.3326,4.4889,3.060e-04,0.0707,2.804,0.091
306,4.2568,4.4889,3.070e-04,0.0707,3.289,0.148
307,4.3233,4.4889,3.080e-04,0.0707,4.336,0.120
308,4.3581,4.4889,3.090e-04,0.0707,3.848,0.136
309,4.2834,4.4889,3.100e-04,0.0707,4.273,0.109
310,4.3355,4.4889,3.110e-04,0.0707,4.300,0.148
311,4.3248,4.4889,3.120e-04,0.0707,4.461,0.126
312,4.3022,4.4889,3.130e-04,0.0707,4.571,0.131
313,4.3219,4.4889,3.140e-04,0.0707,3.712,0.132
314,4.5064,4.4889,3.150e-04,0.0707,4.816,0.143
315,4.3598,4.4889,3.160e-04,0.0707,3.244,0.125
316,4.3925,4.4889,3.170e-04,0.0707,3.058,0.145
